Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Даниленко,Зорян,Устимович,Чоловіча,1988-05-16,Геофізик,хутір Куп'янськ,"вулиця Верещагіна, буд. 349, Бориспіль, 89063",305-47-92,stanislav56@example.com
Павлик,Миколай,Бориславович,Чоловіча,1990-10-10,Геолог,місто Севастополь,"парк Сашка Хорошенка, буд. 652 кв. 7, Копичинці, 51612",022 921-66-48,dannaierchenko@example.com
Василашко,Орхип,Вʼячеславович,Чоловіча,1996-04-25,Візажист,місто Рені,"парк Матроська Слобідка, буд. 42 кв. 374, Ічня, 92852",010 324 87 53,ruslan33@example.net
Бабич,Демʼян,Вікторович,Чоловіча,1942-05-29,Стропальник,хутір Вознесенськ,"сквер Діхтієвського Віктора, буд. 7, Здолбунів, 62063",+380 29 775-91-78,hannaieremenko@example.net
Оліфіренко,Тимофій,Трохимович,Чоловіча,1966-07-02,Ботанік,селище Ровеньки,"шосе Азовський, буд. 64 кв. 493, Боярка, 23482",268-40-77,boleslavfranchuk@example.net
Василечко,Гліб,Августинович,Чоловіча,1967-07-13,Археолог,селище Іловайськ,"набережна Писарева, буд. 0 кв. 8, Благовіщенське, 24715",+380 36 268-72-99,fudovenko@example.org
Зарудний,Олександр,Михайлович,Чоловіча,1964-10-09,Перекладач,місто Сорокине,"парк Госпітальний, буд. 8 кв. 5, Шепетівка, 81472",271-95-07,bazavluchenkovarvara@example.org
Дрозденко,Яків,Гаврилович,Чоловіча,2007-09-30,Парфюмер,селище Сарни,"парк Студентський 4-й, буд. 985 кв. 278, Ірпінь, 61036",094 899 49 03,ykalenychenko@example.com
Бабич,Олесь,Юхимович,Чоловіча,1979-03-28,Конструктор,місто Дружківка,"площа Зоопаркова, буд. 037 кв. 0, Новомосковськ, 47274",088 798-48-76,avreliiivasiuk@example.net
Жаліло,Панас,Тимофійович,Чоловіча,1970-03-08,Художник,селище Богуслав,"провулок Варненська, буд. 640 кв. 471, Рогатин, 33332",+380 89 548 58 92,ebebeshko@example.org
Гаврилець,Аврелій,Геннадійович,Чоловіча,1998-04-28,Мовознавець,хутір Карлівка,"провулок Міхновського Миколи, буд. 68, Мирноград, 41560",+380 (54) 339-77-66,akymenkoielysaveta@example.org
Терещук,Владислав,Петрович,Чоловіча,1963-07-03,Електрик,місто Золотоноша,"вулиця Державіна, буд. 093 кв. 0, Дубляни, 37416",+380 (03) 944-38-35,arkhymovychlevko@example.net
Запорожець,Антон,Симонович,Чоловіча,1951-08-30,Провізор,місто Чигирин,"сквер Гвоздична, буд. 599, Бердянськ, 76154",+380 28 779 60 68,bhydenkoarkadii@example.net
Даценко,Степан,Ааронович,Чоловіча,1960-03-12,Реставратор,хутір Фастів,"парк Собінова, буд. 449, Першотравенськ, 95139",+380 20 563-21-51,vashchenkomartyn@example.com
Венгринович,Гліб,Степанович,Чоловіча,2005-05-13,Детектив,місто Тараща,"провулок Гаршина, буд. 6 кв. 91, Кривий Ріг, 12537",035 990-68-44,kostiantynviter@example.org
Барабаш,Ярема,Прохорович,Чоловіча,2005-08-11,Професор,місто Бобровиця,"сквер Ковалевського, буд. 3, Бобринець, 68423",009 798 05 74,valenkoherman@example.com
Гречаник,Ярослав,Азарович,Чоловіча,1979-05-24,Електрик,село Знам'янка,"шосе Небесної Сотні, буд. 591, Сєвєродонецьк, 67005",019 480 03 90,matiashemiliia@example.com
Запорожець,Панас,Гаврилович,Чоловіча,1968-09-29,Клоун,місто Гола Пристань,"шосе Гілельса, буд. 7 кв. 6, Джанкой, 01384",+380 66 192-16-21,aavramchuk@example.org
Шелест,Франц,Арсенович,Чоловіча,1988-10-04,Електрик,селище Вашківці,"узвіз Парашутний, буд. 735 кв. 15, Алмазна, 50248",+380 (50) 545-62-83,trokhym49@example.net
Давиденко,Антон,Назарович,Чоловіча,1987-12-02,Художник,селище Попасна,"вулиця Асєєва Юрія, буд. 1 кв. 800, Моршин, 12169",002 606-41-14,petro73@example.com
Савенко,Валентин,Юхимович,Чоловіча,1987-05-22,Електротехнік,село Джанкой,"провулок Старосінна, буд. 1 кв. 817, Виноградів, 71751",224 40 35,mhaievskyi@example.org
Рубан,Нестор,Бориславович,Чоловіча,1996-04-07,Золотар,хутір Ровеньки,"узвіз Пілотна, буд. 591, Миколаїв, 08639",+380 09 164 21 79,emiliia11@example.com
Фартушняк,Микита,Захарович,Чоловіча,1975-01-24,Біолог,місто Іршава,"вулиця Яблунева, буд. 961, Золочів, 57610",024 012 93 28,rsmyk@example.com
Іваничук,Веніямин,Максимович,Чоловіча,1964-09-03,Фотограф,хутір Молочанськ,"проспект Марсельська, буд. 3 кв. 2, Залізне, 14723",082 441-32-65,hzhuchenko@example.net
Гаврилюк,Хома,Соломонович,Чоловіча,1960-07-31,Ріелтор,місто Глиняни,"вулиця Університетський, буд. 195 кв. 2, Болехів, 99439",008 479 64 65,rbandura@example.com
Чайка,Юстим,Орхипович,Чоловіча,1963-11-05,Менеджер,хутір Новоград-Волинський,"вулиця Спортивний, буд. 6 кв. 82, Федорівка, 80415",773-14-00,zkashchenko@example.com
Дутка,Соломон,Стефанович,Чоловіча,1967-02-25,Електромонтажник,село Миколаївка ,"шосе Трамвайна, буд. 70, Новоселиця, 63411",087 049-51-51,ziashchuk@example.net
Александренко,Трохим,Петрович,Чоловіча,2005-01-23,Піаніст,село Хоростків,"сквер Черешнева, буд. 29 кв. 97, Мена , 87155",+380 (21) 376-68-56,ieva61@example.net
Зінчук,Омелян,Теодорович,Чоловіча,1943-08-31,Бізнесмен,хутір Старобільськ,"узвіз Гена Іоганна, буд. 77 кв. 247, Волочиськ, 22601",006-34-97,landriievych@example.net
Смик,Зорян,Прохорович,Чоловіча,1946-05-06,Модель,село Погребище,"проспект Пересипський узвіз, буд. 3, Рубіжне, 63647",+380 14 983-76-41,xtsymbal@example.net
Дахно,Єлисей,Несторович,Чоловіча,1995-06-02,Кінолог,хутір Лутугине,"проспект Новомосковська дорога, буд. 70, Татарбунари, 79538",+380 66 045-45-59,nazarenkoedyta@example.com
Заруба,Андрій,Веніяминович,Чоловіча,1967-10-31,Акушер,село Червоносів,"вулиця Андрійця Олега, буд. 85, Запоріжжя, 40416",011 094 26 38,vertyporokhamvrosii@example.com
Атрощенко,Теодор,Віталійович,Чоловіча,1984-11-12,Ґрунтознавець,місто Кальміуське,"проспект Фонтанська дорога, буд. 1, Овруч, 45531",+380 06 181-17-98,solomiia12@example.net
Євдокименко,Трохим,Гордійович,Чоловіча,2002-03-19,Головний меркшейдер,хутір Монастириська,"шосе Володі Дубініна, буд. 034, Вознесенівка, 60096",+380 30 790 04 33,markovasylechko@example.net
Фартушняк,Роман,Захарович,Чоловіча,1950-08-08,Електромонтер,село Петрово-Красносілля,"набережна 3-тя Лінія Марії Демченко, буд. 9, Чистякове, 88091",036 563 44 47,verkholaoleksandr@example.com
Даниленко,Святослав,Васильович,Чоловіча,1941-08-01,Електромонтажник,селище Олевськ,"площа Пересипська 9-та, буд. 725 кв. 299, Моспине, 26102",+380 79 858-96-19,trokhymshvachko@example.org
Салій,Алевтин,Пантелеймонович,Чоловіча,1940-09-29,Літературознавець,селище Алмазна,"узвіз Академіка Ясиновського, буд. 3 кв. 843, Нове Давидково, 47283",068 715-99-31,fkomar@example.com
Фаренюк,Владислав,Тимофійович,Чоловіча,1964-09-30,Кур'єр,місто Першотравенськ,"площа Липнева, буд. 7 кв. 85, Старокостянтинів, 45847",032 449 54 36,petro44@example.org
